entity|description|source
Kritavarma|Yadava warrior who fought for the Kauravas during the war.|http://100words.lauragibbs.net/
kshatriyas|warriors; one of the four ancient Indian social classes.|http://100words.lauragibbs.net/
Kubera|Lord of Wealth; chief of the yakshas.|http://100words.lauragibbs.net/
Kunti|wife of Pandu; mother of Yudhishthira, Bhima, and Arjuna, and also Karna.|http://100words.lauragibbs.net/
Kuru|ancient ancestor of both Dhritarashtra and Pandu.|http://100words.lauragibbs.net/
Kurukshetra|"""Kuru-Field"" where the armies of the Kauravas and Pandavas fought."|http://100words.lauragibbs.net/
Lakshmana|brother of Rama who accompanied him in exile; his story is told in the Ramayana.|http://100words.lauragibbs.net/
Madra|ancient kingdom located in north-west India.|http://100words.lauragibbs.net/
Madri|wife of Pandu; mother of Nakula and Sahadeva; sister of Shalya.|http://100words.lauragibbs.net/
Mahabharata|one of two main epics of ancient India (the other being the Ramayana).|http://100words.lauragibbs.net/
Mahabhisha|king who ascended to Indra's heaven; he was reborn as King Shantanu.|http://100words.lauragibbs.net/
Maitreya|wandering rishi who visited the Pandavas in the forest.|http://100words.lauragibbs.net/
Mandavya|rishi wrongly accused of a crime who curses Yama.|http://100words.lauragibbs.net/
mantra|sacred words or sounds used in meditation and also used to control astras (weapons).|http://100words.lauragibbs.net/
Matsya|ancient kingdom of northern India.|http://100words.lauragibbs.net/
Matsyagandha|Fish-Smell; a nickname given to Satyavati when she was young.|http://100words.lauragibbs.net/
Mayasura|asura; he built a palace for the Pandavas at Indraprastha.|http://100words.lauragibbs.net/
Meru|sacred mountain at the center of the world.|http://100words.lauragibbs.net/
Mohini|female avatar of the god Vishnu; as Mohini, Krishna married Iravan.|http://100words.lauragibbs.net/
Moudgalya|rishi; husband of Nalayani, who was Draupadi in a previous lifetime.|http://100words.lauragibbs.net/
nagas|divine snake-beings with supernatural powers.|http://100words.lauragibbs.net/
Nahusha|king who took Indra's place as king of heaven and then lost that place.|http://100words.lauragibbs.net/
Nakula|one of the five Pandava brothers; twin of Sahadeva; son of Madri and the Ashwins.|http://100words.lauragibbs.net/
Nala|king who lost his kingdom in a gambling match; husband of Damayanti.|http://100words.lauragibbs.net/
Nalayani|wife of Moudgalya; Draupadi in a previous lifetime.|http://100words.lauragibbs.net/
Narada|a divine rishi who likes to tell stories, share wisdom, and sometimes stir up trouble.|http://100words.lauragibbs.net/
Naraka|a place in the afterlife for the expiation of wrongdoing before rebirth.|http://100words.lauragibbs.net/
Narayana-astra|a celestial weapon with the power of Narayana (Vishnu).|http://100words.lauragibbs.net/
Pandavas|sons of Pandu: Yudhishthira, Bhima, Arjuna, Nakula, and Sahadeva.|http://100words.lauragibbs.net/
Pandu|pale son of Vyasa and Ambalika; husband of Kunti and Madri.|http://100words.lauragibbs.net/
Parashara|rishi; father of Satyavati's son, Vyasa.|http://100words.lauragibbs.net/
Parashurama|Axe-Rama; brahmin-warrior regarded as the sixth avatar of Vishnu.|http://100words.lauragibbs.net/
Parikshit|son of Abhimanyu and Uttarai; father of Janamejaya.|http://100words.lauragibbs.net/
Pashupata|powerful astra (weapon) which Arjuna received from Shiva.|http://100words.lauragibbs.net/
Prabhasa|one of the Vasus, incarnated as Bhishma.|http://100words.lauragibbs.net/
Prativindhya|son of Yudhishthira and Draupadi; eldest of the Upapandavas.|http://100words.lauragibbs.net/
Purochana|Duryodhana's agent in Varanavati.|http://100words.lauragibbs.net/
Pururavas|ancient ancestor of the Kurus and Pandavas; husband of the apsara Urvashi.|http://100words.lauragibbs.net/
rakshasas|shape-shifting supernatural beings, often hostile to both gods and humans.|http://100words.lauragibbs.net/
Rama|hero of the epic Ramayana; considered to be the seventh avatar of Vishnu.|http://100words.lauragibbs.net/
Ravana|king of the rakshasas; enemy of Rama; his story is told in the Ramayana.|http://100words.lauragibbs.net/
rishis|enlightened persons, sages.|http://100words.lauragibbs.net/
Sahadeva|one of the five Pandava brothers; twin of Nakula; son of Madri and the Ashwins.|http://100words.lauragibbs.net/
Sahasranama|"""Thousand-Names"" recitation of the thousand names of a deity."|http://100words.lauragibbs.net/
Sairandhri|identity used by Draupadi disguised as a servant in Virata's court.|http://100words.lauragibbs.net/
Samanta Panchaka|five lakes created by the blood of kshatriyas killed by Parashurama.|http://100words.lauragibbs.net/
Samba|son of Krishna.|http://100words.lauragibbs.net/
samshaptaka|oath sworn by warriors to be victorious or die in battle.|http://100words.lauragibbs.net/
Sanjaya|charioteer and adviser to King Dhritarashtra.|http://100words.lauragibbs.net/
Saptarishis|Seven Rishis (Seven Sages).|http://100words.lauragibbs.net/
sari|a cloth drape worn as women's clothing.|http://100words.lauragibbs.net/
Sarpa Satra|serpent sacrifice intended to kill all the snakes of the earth.|http://100words.lauragibbs.net/
Satyaki|Yadava warrior; he fought for the Pandavas during the war.|http://100words.lauragibbs.net/
Satyavan|son of a king who lost his kingdom; husband of Savitri.|http://100words.lauragibbs.net/
Satyavati|wife of Shantanu; mother of Chitrangada, Vichitravirya, and also of Vyasa.|http://100words.lauragibbs.net/
Savitri|princess of Madra; she chose Satyavan to be her husband.|http://100words.lauragibbs.net/
Shachi|consort of the god Indra.|http://100words.lauragibbs.net/
Shakti-spear|weapon given by Indra to Karna, powered by Shakti.|http://100words.lauragibbs.net/
Shakuni|brother of Gandhari; maternal uncle of Duryodhana.|http://100words.lauragibbs.net/
Shalva|lover of Amba; king of Shalva, a kingdom in western India.|http://100words.lauragibbs.net/
Shalya|king of Madra; brother of Madri; uncle of Nakula and Sahadeva.|http://100words.lauragibbs.net/
Shantanu|king of Hastinapura; husband of Ganga and of Satyavati; father of Bhishma.|http://100words.lauragibbs.net/
Shatanika|son of Nakula and Draupadi.|http://100words.lauragibbs.net/
Shesha-Naga|cosmic naga on whom Vishnu rests; Balarama is his avatar.|http://100words.lauragibbs.net/
Shikhandin|son of King Drupada; born as Drupada's daughter, he was Amba reborn.|http://100words.lauragibbs.net/
Shikhandini|daughter born to King Drupada; later a man, Shikhandin.|http://100words.lauragibbs.net/
Shishupala|king of Chedi; cousin of Krishna.|http://100words.lauragibbs.net/
Shiva|god of destruction; one of the supreme divinities with Brahma and Vishnu.|http://100words.lauragibbs.net/
Shrutakarma|son of Arjuna and Draupadi; youngest of the Upapandavas.|http://100words.lauragibbs.net/
Shrutasena|son of Sahadeva and Draupadi.|http://100words.lauragibbs.net/
Shurasena|Yadava ruler; father of Kunti and Vasudeva, Krishna's father.|http://100words.lauragibbs.net/
Sindhu|kingdom of northern India on the Sindhu (Indus) river.|http://100words.lauragibbs.net/
Sita|princess of Mithila who married Rama; her story is told in the Ramayana.|http://100words.lauragibbs.net/
Sthuna|yaksha who exchanged gender with Shikhandini; he became Sthuni.|http://100words.lauragibbs.net/
Sthuni|yakshini; formerly the yaksha Sthuna.|http://100words.lauragibbs.net/
Subala|king of Gandhara; father of Gandhari and Shakuni.|http://100words.lauragibbs.net/
Subhadra|sister of Krishna; wife of Arjuna; mother of Abhimanyu.|http://100words.lauragibbs.net/
Sudarshana-Chakra|supernatural discus used as a weapon by Krishna and Vishnu.|http://100words.lauragibbs.net/
Sudeshna|wife of Virata; mother of Uttara and Uttarai.|http://100words.lauragibbs.net/
Sughada|mother of Yuyutsu; maid of Gandhari.|http://100words.lauragibbs.net/
Sugriva|brother of Vali; king of the monkeys of Kishkindha; ally of Rama.|http://100words.lauragibbs.net/
Sunda|asura; brother of Upasunda; lover of the apsara Tilottama.|http://100words.lauragibbs.net/
sura|alcoholic beverage.|http://100words.lauragibbs.net/
Surya|sun-god; father of Karna.|http://100words.lauragibbs.net/
Susharman|king of Trigarta; ally of Duryodhana.|http://100words.lauragibbs.net/
Sutasoma|son of Bhima and Draupadi.|http://100words.lauragibbs.net/
swayamvara|ceremony in which a woman chooses her groom from competing suitors.|http://100words.lauragibbs.net/
Takshaka|king of the nagas; he killed King Parikshit.|http://100words.lauragibbs.net/
Tantipala|identity used by Sahadeva disguised as a cow-herd in Virata's court.|http://100words.lauragibbs.net/
Tilottama|apsara created by Brahma to entrap Sunda and Upasunda.|http://100words.lauragibbs.net/
Treta Yuga|second age of the world; following the Satya Yuga, preceding the Treta Yuga.|http://100words.lauragibbs.net/
Trigarta|ancient kingdom in northern India.|http://100words.lauragibbs.net/
Uluka|son of Shakuni; Ghandaran warrior.|http://100words.lauragibbs.net/
Ulupi|naga princess; wife of Arjuna; mother of Iravan.|http://100words.lauragibbs.net/
Upapandavas|sons of the Pandavas with Draupadi.|http://100words.lauragibbs.net/
Uparichara|king; father of Satyavati and her twin brother Matsya.|http://100words.lauragibbs.net/
Upasunda|asura; brother of Sunda; lover of the apsara Tilottama.|http://100words.lauragibbs.net/
Urvashi|apsara in Indra's heaven; wife of Pururavas.|http://100words.lauragibbs.net/
Uttara|son of Virata and Sudeshna.|http://100words.lauragibbs.net/
Uttarai|daughter of Virata and Sudeshna; wife of Abhimanyu (also spelled Uttaraa, Uttari).|http://100words.lauragibbs.net/
Uttarayana|"""North-Journey"" which the sun begins after the winter solstice."|http://100words.lauragibbs.net/
Vaikuntha|heavenly abode of VIshnu.|http://100words.lauragibbs.net/
Vaishampayana|disciple of Vyasa; he recited the Mahabharata to Janamejaya.|http://100words.lauragibbs.net/
Vali|king of the monkeys of Kishkindha; his story is told in the Ramayana.|http://100words.lauragibbs.net/
Vallabha|identity used by Bhima while disguised as a cook in Virata's court.|http://100words.lauragibbs.net/
Varaha|boar; the boar incarnation of Vishnu.|http://100words.lauragibbs.net/
Varanavata|town in northern India where the Pandavas lived in the house of lacquer.|http://100words.lauragibbs.net/
Vashishtha|rishi; owner of the wish-granting cow.|http://100words.lauragibbs.net/
Vasuki|king of the nagas; he welcomed Bhima in the land of the nagas.|http://100words.lauragibbs.net/
Vasus|eight gods representing the elements.|http://100words.lauragibbs.net/
Vayu|wind-god; divine father of Bhima and of Hanuman.|http://100words.lauragibbs.net/
Vedas|ancient holy scriptures.|http://100words.lauragibbs.net/
Vichitravirya|son of Shantanu and Satyavati; elder brother of Chitrangada.|http://100words.lauragibbs.net/
Vidura|son of Vyasa and Ambalika's servant; brother of Dhritarashtra and Pandu.|http://100words.lauragibbs.net/
Vikarna|one of the hundred sons of Gandhari and Dhritarashtra.|http://100words.lauragibbs.net/
Virata|king of Matsya; husband of Sudeshna; father of Uttarai.|http://100words.lauragibbs.net/
Vishnu|god of preservation; one of the supreme divinities with Brahma and Shiva.|http://100words.lauragibbs.net/
Vishnu-astra|cosmic weapon imbued with the power of Vishnu; also called Vaishnavastra.|http://100words.lauragibbs.net/
Vyasa|son of Satyavati and the rishi Parashara; composer of the Vedas.|http://100words.lauragibbs.net/
Yadavas|descendants of Yadu; Krishna was a Yadava, as were Kritavarma and Satyaki.|http://100words.lauragibbs.net/
Yadu|son of Yayati; ancestor of the Yadavas.|http://100words.lauragibbs.net/
yakshas|spirits of mountains, woods, and lakes.|http://100words.lauragibbs.net/
yakshinis|female yakshas.|http://100words.lauragibbs.net/
Yama|god of death and of dharma; divine father of Yudhishthira.|http://100words.lauragibbs.net/
Yudhishthira|one of the five Pandava brothers; son of Kunti and Yama, the god of dharma.|http://100words.lauragibbs.net/
Yugas|four ages of the world in this order: Satya, Treta, Dvapara, and Kali .|http://100words.lauragibbs.net/
Yuyutsu|son of Dhritarashtra and Sughada, the maid of Gandhari.|http://100words.lauragibbs.net/
